experiment_id,kit,flow_cell_id,barcode,alias
RRNS_tau_Ind,SQK-NBD114-24,PBE20707,barcode01,A19_jun
RRNS_tau_Ind,SQK-NBD114-24,PBE20707,barcode02,A21_jun
RRNS_tau_Ind,SQK-NBD114-24,PBE20707,barcode03,A25_jun
RRNS_tau_Ind,SQK-NBD114-24,PBE20707,barcode04,N03_jun
RRNS_tau_Ind,SQK-NBD114-24,PBE20707,barcode05,N07_jun
RRNS_tau_Ind,SQK-NBD114-24,PBE20707,barcode06,N13_jun
